Image,Answer
1,80
2,270
3,200
4,228
5,303
6,256
7,345
8,30
9,321
10,153
11,213
12,266
13,216
14,177
15,162
16,92
17,85
18,225
19,151
20,226
21,213
22,151
23,179
24,226
25,173
26,317
27,136
28,296
29,155
30,253
31,175
32,312
33,88
34,97
35,268
36,211
37,215
38,30
39,168
40,234
41,243
42,179
43,225
44,290
45,304
46,80
47,246
48,92
49,239
50,176
51,227
52,133
53,347
54,209
55,106
56,131
57,163
58,30
59,222
60,225
61,85
62,334
63,80
64,155
65,160
66,103
67,311
68,173
69,250
70,265
71,339
72,205
73,152
74,233
75,186
76,347
77,79
78,103
79,308
80,335
81,210
82,92
83,289
84,255
85,233
86,213
87,152
88,48
89,230
90,314
91,239
92,157
93,347
94,92
95,226
96,304
97,93
98,177
99,226
100,296
101,214
102,290
103,51
104,326
105,107
106,251
107,3
108,219
109,273
110,29
111,30
112,227
113,197
114,269
115,324
116,53
117,324
118,194
119,280
120,233
121,234
122,177
123,319
124,136
125,271
126,213
127,239
128,278
129,158
130,287
131,180
132,283
133,317
134,177
135,283
136,210
137,241
138,337
139,19
140,342
141,168
142,222
143,347
144,213
145,213
146,164
147,186
148,283
149,226
150,101
151,125
152,296
153,61
154,197
155,134
156,220
157,218
158,154
159,177
160,238
161,279
162,120
163,286
164,165
165,181
166,79
167,91
168,209
169,99
170,232
171,245
172,320
173,125
174,100
175,290
176,224
177,203
178,294
179,160
180,266
181,77
182,254
183,240
184,5
185,109
186,232
187,30
188,200
189,135
190,334
191,169
192,345
193,30
194,308
195,238
196,152
197,109
198,167
199,203
200,217
201,310
202,212
203,109
204,228
205,196
206,226
207,32
208,278
209,238
210,320
211,90
212,276
213,205
214,241
215,345
216,197
217,213
218,151
219,200
220,178
221,248
222,234
223,242
224,333
225,38
226,59
227,212
228,247
229,234
230,278
231,310
232,34
233,233
234,157
235,85
236,324
237,125
238,296
239,122
240,334
241,216
242,215
243,226
244,107
245,85
246,264
247,211
248,314
249,34
250,125
251,177
252,188
253,162
254,180
255,213
256,168
257,302
258,227
259,316
260,236
261,96
262,226
263,287
264,109
265,213
266,93
267,228
268,239
269,127
270,223
271,320
272,157
273,79
274,262
275,243
276,215
277,262
278,195
279,263
280,167
281,233
282,109
283,305
284,341
285,305
286,333
287,154
288,253
289,111
290,167
291,99
292,30
293,79
294,271
295,92
296,348
297,290
298,283
299,250
300,233
301,252
302,246
303,161
304,295
305,46
306,118
307,227
308,85
309,213
310,248
311,193
312,134
313,284
314,336
315,39
316,341
317,241
318,308
319,234
320,186
321,334
322,337
323,213
324,238
325,5
326,307
327,159
328,176
329,94
330,182
331,157
332,153
333,323
334,175
335,213
336,339
337,339
338,261
339,189
340,85
341,344
342,92
343,186
344,292
345,298
346,91
347,250
348,164
349,317
350,302
351,303
352,79
353,46
354,105
355,3
356,91
357,341
358,232
359,79
360,238
361,349
362,154
363,99
364,209
365,109
366,238
367,109
368,234
369,321
370,195
371,5
372,61
373,283
374,85
375,294
376,282
377,324
378,110
379,85
380,284
381,225
382,154
383,232
384,96
385,278
386,106
387,157
388,218
389,300
390,215
391,245
392,204
393,200
394,228
395,197
396,320
397,255
398,278
399,317
400,234
401,241
402,284
403,207
404,79
405,197
406,268
407,5
408,46
409,214
410,109
411,232
412,153
413,245
414,79
415,310
416,332
417,228
418,232
419,163
420,269
421,79
422,296
423,230
424,85
425,2
426,212
427,167
428,30
429,260
430,297
431,186
432,297
433,314
434,109
435,340
436,99
437,39
438,176
439,295
440,239
441,151
442,225
443,253
444,150
445,234
446,245
447,154
448,263
449,337
450,283
451,85
452,76
453,209
454,19
455,308
456,120
457,310
458,245
459,320
460,76
461,267
462,327
463,226
464,159
465,242
466,321
467,262
468,186
469,259
470,262
471,321
472,152
473,238
474,302
475,213
476,42
477,76
478,167
479,159
480,205
481,259
482,289
483,239
484,324
485,54
486,347
487,284
488,109
489,107
490,346
491,304
492,53
493,256
494,248
495,66
496,209
497,232
498,284
499,230
500,345
501,322
502,324
503,155
504,103
505,233
506,157
507,239
508,207
509,103
510,181
511,220
512,261
513,283
514,247
515,321
516,213
517,85
518,345
519,246
520,262
521,347
522,248
523,230
524,213
525,96
526,99
527,287
528,250
529,213
530,298
531,113
532,286
533,312
534,258
535,187
536,140
537,269
538,252
539,216
540,103
541,111
542,161
543,281
544,345
545,245
546,213
547,195
548,278
549,213
550,257
551,59
552,230
553,247
554,85
555,120
556,152
557,176
558,29
559,217
560,128
561,245
562,180
563,298
564,245
565,110
566,287
567,115
568,268
569,342
570,61
571,154
572,196
573,324
574,230
575,132
576,144
577,79
578,233
579,325
580,250
581,180
582,209
583,79
584,226
585,204
586,278
587,308
588,152
589,225
590,322
591,259
592,152
593,255
594,233
595,324
596,349
597,288
598,186
599,92
600,241
601,156
602,158
603,27
604,320
605,307
606,242
607,123
608,192
609,341
610,287
611,208
612,92
613,120
614,166
615,30
616,303
617,200
618,103
619,237
620,189
621,167
622,154
623,299
624,333
625,321
626,221
627,186
628,238
629,205
630,106
631,213
632,254
633,204
634,338
635,324
636,298
637,244
638,213
639,185
640,311
641,213
642,99
643,266
644,176
645,317
646,148
647,180
648,152
649,269
650,167
651,313
652,36
653,179
654,296
655,79
656,336
657,266
658,303
659,70
660,321
661,3
662,213
663,306
664,303
665,341
666,166
667,30
668,200
669,213
670,79
671,123
672,109
673,76
674,226
675,84
676,342
677,186
678,169
679,245
680,213
681,266
682,124
683,92
684,226
685,336
686,154
687,347
688,209
689,240
690,203
691,136
692,320
693,92
694,227
695,210
696,93
697,209
698,92
699,283
700,30
