Image,Answer
1,46
2,59
3,26
4,46
5,51
6,10
7,18
8,57
9,14
10,53
11,17
12,28
13,12
14,57
15,15
16,52
17,9
18,13
19,49
20,35
21,4
22,43
23,59
24,21
25,4
26,43
27,52
28,3
29,22
30,31
31,42
32,20
33,22
34,7
35,28
36,23
37,53
38,51
39,52
40,32
41,25
42,17
43,50
44,20
45,3
46,16
47,27
48,62
49,40
50,29
51,49
52,5
53,41
54,23
55,27
56,17
57,22
58,1
59,11
60,19
61,18
62,43
63,48
64,33
65,11
66,35
67,23
68,44
69,8
70,18
71,24
72,30
73,11
74,38
75,49
76,5
77,61
78,60
79,44
80,60
81,20
82,19
83,37
84,1
85,30
86,2
87,48
88,50
89,10
90,63
91,47
92,33
93,3
94,28
95,64
96,16
97,12
98,11
99,6
100,15
101,34
102,21
103,56
104,37
105,40
106,54
107,6
108,48
109,37
110,27
111,45
112,38
113,27
114,64
115,49
116,45
117,32
118,40
119,42
120,25
121,9
122,55
123,3
124,29
125,30
126,58
127,60
128,23
129,62
130,63
131,30
132,64
133,28
134,47
135,8
136,62
137,41
138,36
139,37
140,56
141,10
142,14
143,43
144,39
145,59
146,32
147,29
148,48
149,55
150,9
151,26
152,52
153,61
154,54
155,56
156,32
157,21
158,51
159,62
160,26
161,36
162,27
163,44
164,46
165,8
166,64
167,7
168,57
169,47
170,17
171,42
172,35
173,19
174,58
175,57
176,5
177,27
178,24
179,60
180,61
181,63
182,18
183,45
184,24
185,61
186,56
187,4
188,9
189,7
190,41
191,33
192,53
193,38
194,16
195,29
196,31
197,34
198,58
199,15
200,41
201,31
202,27
203,47
204,59
205,54
206,2
207,50
208,11
209,25
210,2
211,42
212,46
213,13
214,55
215,12
216,63
217,55
218,35
219,25
220,54
221,1
222,8
223,58
224,40
225,18
226,14
227,44
228,51
229,22
230,39
231,33
232,38
233,38
234,31
235,12
236,7
237,36
238,39
239,5
240,6
241,34
242,24
243,23
244,50
245,34
246,39
247,9
248,15
249,4
250,36
251,29
252,21
253,14
254,26
255,45
256,16
